data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1639755,562,NIR633,633,18-Jun-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,GATIA: Imghad Tuareg and Allies Self-Defense Group,3,Civilians (Niger),Fulani Ethnic Group (Niger),7,37,Western Africa,Niger,Tillabery,Ouallam,Tondikiwindi,Holle Hamani,15.1646,1.7552,1,Menastream,Subnational,"On June 18, presumed MSA and GATIA militiamen killed three civilians at a Fulani camp in Holle Hamani.",3,1529947889,NER
1634934,562,NIR625,625,16-Jun-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),PNDS: Nigerien Party for Democracy and Socialism; CCRA: Regional Chamber of Commerce Agadez,7,37,Western Africa,Niger,Agadez,Tchighozerine,ZR Tchirozerine,Agadez,16.97,7.99,1,Air Info,Local,"On June 16, unknown gunmen opened fire on a vehicle in the Dagmanet neighborhood of Agadez, in the vehicle was the president of the regional chamber of commerce in Agadez who also is the vice president of the ruling party PNDS Tarayya, his brother responded to the attack by using his weapon causing the assailants to flee. The two brothers were both gunshot wounded.",0,1529342215,NER
1634933,562,NIR624,624,15-Jun-18,2018,1,Violence against civilians,Islamic State (Greater Sahara),,2,Civilians (Niger),Tuareg Ethnic Group (Niger),7,27,Western Africa,Niger,Tillabery,Tillabery,Ayorou,Haguaye Peul,15.0485,1.1759,2,Menastream,Other-Local,"On June 15, presumed ISGS militants attacked a Tuareg camp near Haguaye, killing a notable and his son.",2,1529342215,NER
1634932,562,NIR623,623,13-Jun-18,2018,1,Strategic development,Government of Niger (2011-),,1,,,0,10,Western Africa,Niger,Niamey,Niamey,Lamorde,Niamey,13.52,2.12,3,Presidence Niger,National,"Security measures: On June 13, the ministerial council extended the state of emergency by three months in the Diffa Region, five departments in the Tillabery Region and two departments in Tahoua Region counted from June 18.",0,1529342215,NER
1639754,562,NIR632,632,12-Jun-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,GATIA: Imghad Tuareg and Allies Self-Defense Group,3,Civilians (Mali),Fulani Ethnic Group (Mali),7,37,Western Africa,Niger,Tillabery,Ouallam,Tondikiwindi,Holle Hamani,15.1646,1.7552,2,Menastream,Subnational,"On June 12, MSA/GATIA militiamen killed three elderly Fulani herdsmen in the area of Holle Hamani.",3,1529947889,NER
1639753,562,NIR631,631,10-Jun-18,2018,2,Battle-No change of territory,Military Forces of Niger (2011-),Military Forces of the United States; Military Forces of France,1,Unidentified Armed Group (Chad),,3,13,Western Africa,Niger,Agadez,Bilma,Bilma,Arbre du Tenere,17.745,10.0808,2,Air Info Agadez; RFI,Subnational-International,"Over June 9-10, the Nigerien army with support from U.S. and French forces routed a convoy of presumed Chadian rebels who previously had ambushed a Nigerien army convoy, an unknown number of gunmen were killed. Unknown fatalities coded as 10, spread over two dates.",5,1529947889,NER
1639751,562,NIR629,629,9-Jun-18,2018,2,Battle-No change of territory,Military Forces of Niger (2011-),Military Forces of the United States; Military Forces of France,1,Unidentified Armed Group (Chad),,3,13,Western Africa,Niger,Agadez,Bilma,Bilma,Arbre du Tenere,17.745,10.0808,2,Air Info Agadez; RFI,Subnational-International,"Over June 9-10, the Nigerien army with support from U.S. and French forces routed a convoy of presumed Chadian rebels who previously had ambushed a Nigerien army convoy, an unknown number of gunmen were killed. Unknown fatalities coded as 10, spread over two dates.",5,1529947889,NER
1639752,562,NIR630,630,9-Jun-18,2018,1,Violence against civilians,MSA: Movement for Azawad Salvation,GATIA: Imghad Tuareg and Allies Self-Defense Group,3,Civilians (Niger),Fulani Ethnic Group (Niger),7,37,Western Africa,Niger,Tillabery,Ouallam,Ouallam,Ouallam,14.3188,2.0866,3,Kisal,Other,"On June 9, MSA/GATIA militiamen killed at least three Fulani herdsmen in the area of Nguel Bowadje, in the northern Tillabery Region.",3,1529947889,NER
1639749,562,NIR627,627,8-Jun-18,2018,1,Battle-No change of territory,Unidentified Armed Group (Chad),,3,Military Forces of Niger (2011-),,1,13,Western Africa,Niger,Agadez,Bilma,Bilma,Arbre du Tenere,17.745,10.0808,2,Air Info Agadez,Subnational,"On June 8, presumed Chadian rebels ambushed a Nigerien army convoy near Arbre du Tenere, killing two soldiers and destroying a vehicle.",2,1529947889,NER
1639750,562,NIR628,628,8-Jun-18,2018,1,Violence against civilians,Unidentified Armed Group (Niger),,3,Civilians (Niger),,7,37,Western Africa,Niger,Agadez,Arlit,ZR Arlit,Arlit,18.7369,7.3853,1,Air Info Agadez,Subnational,"On June 8, unknown gunmen abducted a civilian in Arlit, the victim is believed to have informed authorities about the presence of an arms cache previously discovered near Tahoua.",0,1529947889,NER
